av,al,co,se,ta,tcost
11,3,16,17,2,0.3097975
11.5,3,16,17,2,0.3796939
11.5,3,16,17.5,2,0.3633806
11.5,3,16,17.5,2.5,0.3069953
11,3,16,17.5,2.5,0.3150173
11,3,16,17.5,3,0.3122872
11,3,16,17.5,3.5,0.3812049
10.5,3,16,17.5,3.5,0.3714936
10.5,2.5,16,17.5,3.5,0.3855914
10,2.5,16,17.5,3.5,0.3068668
10,2.5,16,17.5,3,0.3611524
9.5,2.5,16,17.5,3,0.2559758
9.5,2.5,16,17.5,3.5,0.3086425
9.5,2.5,16,18,3.5,0.3699303
9.5,2.5,16,17.5,3.5,0.3083891
10,2.5,16,17.5,3.5,0.3173625
10,2.5,16,17.5,3,0.3192831
10,2.5,16.5,17.5,3,0.3202825
10,3,16.5,17.5,3,0.2550051
9.5,3,16.5,17.5,3,0.3804834
9.5,3,16.5,17.5,2.5,0.3749695
9.5,2.5,16.5,17.5,2.5,0.3169917
9.5,2.5,16.5,17.5,3,0.3279164
9.5,2.5,16.5,17.5,2.5,0.4276147
10,2.5,16.5,17.5,2.5,0.3176005
10,2.5,17,17.5,2.5,0.3183379
10,2.5,17,17.5,2,0.3698393
10,2.5,17,18,2,0.2509009
10,2.5,17,18,2.5,0.3185019
10,2.5,17,17.5,2.5,0.3143977
10,2.5,17.5,17.5,2.5,0.2607046
9.5,2.5,17.5,17.5,2.5,0.3200284
9.5,3,17.5,17.5,2.5,0.3147058
9.5,3.5,17.5,17.5,2.5,0.2663709
9,3.5,17.5,17.5,2.5,0.3082896
9,3.5,17,17.5,2.5,0.4320478
9,3.5,17,17.5,3,0.3180221
9,3.5,17,18,3,0.3793098
9,3.5,17,18.5,3,0.317508
9,3.5,17,19,3,0.3254032
9,3.5,17,19.5,3,0.3200856
9,3.5,16.5,19.5,3,0.3291522
8.5,3.5,16.5,19.5,3,0.4300996
8.5,3,16.5,19.5,3,0.381808
8.5,3,16,19.5,3,0.3084252
8.5,3.5,16,19.5,3,0.3146599
9,3.5,16,19.5,3,0.3086967
9.5,3.5,16,19.5,3,0.3207349
9.5,3.5,16.5,19.5,3,0.3190781
9.5,3.5,16.5,19.5,2.5,0.3133521
9.5,3.5,16.5,19,2.5,0.3706831
9.5,3.5,17,19,2.5,0.3558258
9.5,3.5,17.5,19,2.5,0.3185542
9.5,3.5,18,19,2.5,0.3202871
9.5,3.5,18,19.5,2.5,0.2592297
9.5,4,18,19.5,2.5,0.3158835
9.5,4,18,19.5,2,0.3704862
9.5,4,18,19.5,2.5,0.2988749
10,4,18,19.5,2.5,0.3664202
9.5,4,18,19.5,2.5,0.3145438
9.5,4,18.5,19.5,2.5,0.3142559
9.5,4,18.5,19.5,2,0.3717576
9.5,3.5,18.5,19.5,2,0.321966
9,3.5,18.5,19.5,2,0.3323856
9,3.5,18,19.5,2,0.3701057
9,3.5,18,19,2,0.3047428
9,3.5,18,19.5,2,0.3254968
8.5,3.5,18,19.5,2,0.3222676
8,3.5,18,19.5,2,0.3148259
8,3.5,17.5,19.5,2,0.3186236
8,3.5,17.5,19.5,1.5,0.3886698
8,3.5,17.5,20,1.5,0.3033465
8,3.5,17.5,19.5,1.5,0.3068014
8,3.5,18,19.5,1.5,0.3261768
8,3.5,17.5,19.5,1.5,0.3181985
8,3,17.5,19.5,1.5,0.3177258
8,3,17,19.5,1.5,0.3165335
8,3,17,19.5,2,0.3219205
8.5,3,17,19.5,2,0.3157212
8.5,3,17,19.5,2.5,0.257985
8,3,17,19.5,2.5,0.3737752
8,3,17,19.5,2,0.263438
8.5,3,17,19.5,2,0.3147146
8.5,3.5,17,19.5,2,0.3141451
8.5,3.5,17.5,19.5,2,0.3181131
8.5,3.5,17.5,19.5,2.5,0.3204067
8,3.5,17.5,19.5,2.5,0.3232761
8,3.5,17.5,19,2.5,0.3736432
8,3.5,17.5,19.5,2.5,0.3849674
7.5,3.5,17.5,19.5,2.5,0.3064292
7.5,3.5,17.5,19.5,3,0.3121042
7.5,3.5,17.5,19.5,3.5,0.3697826
7.5,3.5,17.5,20,3.5,0.2506249
7.5,3.5,18,20,3.5,0.3122201
7.5,3,18,20,3.5,0.3196917
7.5,2.5,18,20,3.5,0.3836609
7.5,2.5,18,19.5,3.5,0.3037491
7.5,2.5,18,20,3.5,0.3787635
7.5,2.5,18,19.5,3.5,0.3695417
7.5,2.5,18,19,3.5,0.3675101
7.5,2.5,18,19.5,3.5,0.3145337
7.5,3,18,19.5,3.5,0.3084042
8,3,18,19.5,3.5,0.3300727
8,3.5,18,19.5,3.5,0.3111578
8,4,18,19.5,3.5,0.3603603
8,4,18,19.5,3,0.316702
8,4,18.5,19.5,3,0.3726659
7.5,4,18.5,19.5,3,0.3158582
7.5,3.5,18.5,19.5,3,0.3125983
8,3.5,18.5,19.5,3,0.3704254
8,3.5,18.5,19.5,2.5,0.3793192
8.5,3.5,18.5,19.5,2.5,0.3789883
8.5,4,18.5,19.5,2.5,0.3165721
8.5,4.5,18.5,19.5,2.5,0.3204896
8.5,4.5,18.5,19.5,3,0.3728127
8.5,4.5,18.5,20,3,0.36614
8.5,4,18.5,20,3,0.3146232
8.5,4,18.5,19.5,3,0.3236818
8,4,18.5,19.5,3,0.3150431
8,4,18,19.5,3,0.3672943
8,3.5,18,19.5,3,0.3147315
8,4,18,19.5,3,0.3204603
8,4.5,18,19.5,3,0.3144727
8,4.5,18,19,3,0.3121248
7.5,4.5,18,19,3,0.3851735
7.5,4,18,19,3,0.3122466
7.5,4,18.5,19,3,0.3132047
8,4,18.5,19,3,0.3687314
8,4,18.5,19.5,3,0.3122072
7.5,4,18.5,19.5,3,0.2410653
7.5,4,18.5,19.5,3.5,0.3739557
7.5,3.5,18.5,19.5,3.5,0.323671
8,3.5,18.5,19.5,3.5,0.3178602
8.5,3.5,18.5,19.5,3.5,0.3110125
8.5,3.5,19,19.5,3.5,0.3105494
8.5,3.5,19,20,3.5,0.3726654
8.5,3.5,18.5,20,3.5,0.309908
8.5,3.5,18.5,20.5,3.5,0.2675736
8.5,3.5,18.5,20.5,3,0.2498378
8,3.5,18.5,20.5,3,0.3216326
8.5,3.5,18.5,20.5,3,0.3319054
8.5,3.5,18.5,20.5,2.5,0.3686244
9,3.5,18.5,20.5,2.5,0.3666734
9,3.5,19,20.5,2.5,0.3164006
9,3.5,19,20.5,3,0.3137795
9.5,3.5,19,20.5,3,0.3786703
9.5,3.5,19,20.5,3.5,0.2458117
9.5,3.5,19,20.5,3,0.3137702
9.5,3.5,19,20.5,3.5,0.3037027
9.5,3,19,20.5,3.5,0.2429407
9.5,3,19,20.5,3,0.3188387
9.5,3,19.5,20.5,3,0.3160862
9.5,3,19.5,20.5,3.5,0.3729838
10,3,19.5,20.5,3.5,0.3208253
10.5,3,19.5,20.5,3.5,0.3219176
11,3,19.5,20.5,3.5,0.3797788
11,3.5,19.5,20.5,3.5,0.3163469
11,3.5,19,20.5,3.5,0.379116
11,3,19,20.5,3.5,0.3816029
11,3,19,20.5,3,0.3123443
11,3,19.5,20.5,3,0.3096747
11.5,3,19.5,20.5,3,0.3740581
11.5,3,19.5,20.5,3.5,0.3184676
11.5,3,19,20.5,3.5,0.3798683
11.5,3,18.5,20.5,3.5,0.30651
11.5,3,18,20.5,3.5,0.3662215
12,3,18,20.5,3.5,0.3226758
12.5,3,18,20.5,3.5,0.3114097
12.5,3,17.5,20.5,3.5,0.3709555
13,3,17.5,20.5,3.5,0.3226511
13,3,17.5,20.5,4,0.3785036
13.5,3,17.5,20.5,4,0.3076534
13,3,17.5,20.5,4,0.3107189
13,3,17.5,20.5,4.5,0.3120084
12.5,3,17.5,20.5,4.5,0.3248823
12.5,3,17.5,20.5,4,0.4192349
12.5,3,17,20.5,4,0.3244761
12.5,2.5,17,20.5,4,0.3158022
12.5,2.5,17,20.5,4.5,0.3124077
13,2.5,17,20.5,4.5,0.31487
13,2.5,17,20.5,4,0.3752517
13.5,2.5,17,20.5,4,0.3800624
13.5,2.5,17,20.5,4.5,0.325058
13,2.5,17,20.5,4.5,0.3236596
13,3,17,20.5,4.5,0.3047515
13,3,16.5,20.5,4.5,0.3301755
13,3.5,16.5,20.5,4.5,0.3644437
13,3.5,16.5,20.5,5,0.3669502
13,3.5,17,20.5,5,0.2626947
13,3.5,17,20.5,5.5,0.3158353
13,3.5,16.5,20.5,5.5,0.3246669
13,3.5,17,20.5,5.5,0.3717506
13,3,17,20.5,5.5,0.3585964
13,2.5,17,20.5,5.5,0.3151509
13,2.5,17,20.5,6,0.3179296
13,2.5,17,20.5,6.5,0.3051997
6,8,3,19,16,0.305758
6,8,3,18.5,16,0.3656556
6,8,3.5,18.5,16,0.3820808
6,7.5,3.5,18.5,16,0.4331995
5.5,7.5,3.5,18.5,16,0.3769632
5.5,8,3.5,18.5,16,0.319674
6,8,3.5,18.5,16,0.3174097
6,8,3.5,18.5,15.5,0.314279
6,8,4,18.5,15.5,0.3130441
6,8,4,18,15.5,0.3218867
6,8,4,18.5,15.5,0.309447
6,8,4,18,15.5,0.3622632
